fil,ss,prot,rep,sub,condition
../results/xlsites/Prp16_G378A-FLAG_ACT1_WText20_DBR1_exp33.small.Aligned.out.sorted.cdnacounts,ext20,dn,rep1,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_WText20_DBR1_exp43.small.Aligned.out.sorted.cdnacounts,ext20,dn,rep2,ACT1,UV
../results/xlsites/ctrl_notag_Prp16_G378A_ACT1_WText20_DBR1_exp33.small.Aligned.out.sorted.cdnacounts,ext20,dn,rep1,ACT1,ctrl
../results/xlsites/ctrl_notag_Prp16_G378A_ACT1_WText20_DBR1_exp43.small.Aligned.out.sorted.cdnacounts,ext20,dn,rep2,ACT1,ctrl
../results/xlsites/Prp16_G378A-FLAG_ACT1_WText40_DBR1_exp34.small.Aligned.out.sorted.cdnacounts,ext40,dn,rep1,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_WText40_DBR1_exp44.small.Aligned.out.sorted.cdnacounts,ext40,dn,rep2,ACT1,UV
../results/xlsites/ctrl_notag_Prp16_G378A_ACT1_WText40_DBR1_exp34.small.Aligned.out.sorted.cdnacounts,ext40,dn,rep1,ACT1,ctrl
../results/xlsites/ctrl_notag_Prp16_G378A_ACT1_WText40_DBR1_exp45.small.Aligned.out.sorted.cdnacounts,ext40,dn,rep2,ACT1,ctrl
../results/xlsites/Prp16_G378A-FLAG_ACT1_WTextSL_DBR1_exp35.small.Aligned.out.sorted.cdnacounts,extSL,dn,rep1,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_WTextSL_DBR1_exp45.small.Aligned.out.sorted.cdnacounts,extSL,dn,rep2,ACT1,UV
../results/xlsites/ctrl_notag_Prp16_G378A_ACT1_WTextSL_DBR1_exp35.small.Aligned.out.sorted.cdnacounts,extSL,dn,rep1,ACT1,ctrl
../results/xlsites/ctrl_notag_Prp16_G378A_ACT1_WTextSL_DBR1_exp44.small.Aligned.out.sorted.cdnacounts,extSL,dn,rep2,ACT1,ctrl
../results/xlsites/Prp16_G378A-FLAG_ACT1_WT_exp31.small.Aligned.out.sorted.cdnacounts,WT,dn,rep1,ACT1,UV
../results/xlsites/Prp16_G378A-FLAG_ACT1_WT_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,WT,dn,rep2,ACT1,UV
../results/xlsites/ctrl_notag_UV_ACT1_WT_Prp16_G378A_exp31.small.Aligned.out.sorted.cdnacounts,WT,dn,rep1,ACT1,ctrl
../results/xlsites/ctrl_notag_UV_ACT1_WT_Prp16_G378A_DBR1_exp32.small.Aligned.out.sorted.cdnacounts,WT,dn,rep2,ACT1,ctrl
,,,,,
,,,,,